"1","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       3","31-12-2017       4","31-03-2018       Other","30-06-2018       1","30-09-2018       2","31-12-2018       3","31-03-2019       4"
"2","Sales/Revenue","11,453.93","4,232.44","6,046.10","5,048.43","12,022.74","5,988.33","2,813.34","2,722.98","3,988.84","983.50"
"3","Pretax Income","(4,249.61)","(3,296.04)","(2,079.07)","(3,830.51)","(577.86)","(19,503.47)","860.76","249.73","(6,182.52)","(7,551.60)"
"4","Net Income","(3,286.35)","(3,260.87)","(2,287.60)","(3,619.77)","(742.17)","(21,007.88)","872.92","249.96","(6,125.28)","(8,069.61)"
"5","Cash & Short-Term Investments","6,763.40","4,994.87","1,903.07","841.94","501.14","1,700.16","2,312.46","1,250.41","2,515.21","4,607.61"
"6","Cash Only","6,627.82","4,858.41","1,764.73","738.13","396.48","1,559.39","2,206.89","1,144.84","2,409.65","4,502.44"
"7","Total Accounts Receivables","14,464.62","13,693.00","14,868.05","12,486.76","13,517.32","8,781.87","8,088.66","6,168.85","5,327.11","2,581.65"
"8","Net Property, Plant & Equipment","2,136.36","1,826.63","1,554.43","1,275.83","1,086.42","899.01","783.34","744.35","621.73","543.73"
"9","Accrued Payable","-","-","-","4,277.29","2,916.54","4,489.97","1,372.66","694.84","6,746.95","2,294.60"
"10","Short Term Debt","2,479.29","2,504.32","-","2,950.46","3,051.17","3,113.77","3,136.62","2,028.76","2,418.73","-"
"11","Long Term Debt","341.82","310.38","-","246.18","216.12","180.28","151.79","175.57","87.18","71.21"
"12","Net Operating Cash Flow","(917.97)","(1,309.84)","8,037.94","(11,413.17)","1,203.71","57.40","704.02","1,841.43","(715.10)","(1,000.81)"
"13","Capital Expenditures","(1,017.60)","(12.78)","(26.02)","(364.71)","-","134.61","-","-","-","(95.45)"
"14","Total Shares Outstanding (million)","241,351.00","241,351.00","-","265,485.69","265,485.69","265,485.69","265,485.69","265,485.69","265,485.69","265,485.69"
