"1","Financial Year","31-12-2016       4","31-03-2017       Other","30-06-2017       Other","30-09-2017       1","31-12-2017       2","31-03-2018       3","30-06-2018       4","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","38,268.00","46,129.00","44,306.63","39,891.00","27,697.00","29,361.00","30,230.78","32,348.00","32,472.00","32,213.00"
"3","Pretax Income","17,649.00","(60,275.00)","(263,580.35)","(44,387.00)","39,011.00","(246,109.00)","(217,231.44)","(22,233.00)","(26,178.00)","(24,855.00)"
"4","Net Income","10,249.00","(65,295.00)","(205,353.78)","(42,169.00)","40,776.00","(244,524.00)","(209,705.62)","(19,881.00)","(24,786.00)","(23,120.00)"
"5","Cash & Short-Term Investments","16,836.00","26,321.00","16,392.28","28,972.00","28,899.00","27,145.00","28,385.39","42,256.00","42,917.00","51,915.00"
"6","Cash Only","-","-","-","28,972.00","28,899.00","27,145.00","28,385.39","42,256.00","42,917.00","51,915.00"
"7","Total Accounts Receivables","174,216.00","180,768.00","98,445.66","86,605.00","84,410.00","87,323.00","39,367.39","31,685.00","30,040.00","32,151.00"
"8","Net Property, Plant & Equipment","933,297.00","1,162,139.00","1,053,295.91","1,020,268.00","963,381.00","709,599.00","662,558.36","669,484.00","660,840.00","643,850.00"
"9","Accrued Payable","-","-","118,106.76","-","-","-","-","-","-","-"
"10","Short Term Debt","501,785.00","1,355,139.00","1,317,964.23","1,296,992.00","1,248,123.00","1,195,254.00","1,229,496.40","1,253,596.00","1,250,578.00","1,233,298.00"
"11","Long Term Debt","753,711.00","-","-","-","-","-","-","-","-","-"
"12","Net Operating Cash Flow","(11,036.00)","3,667.00","1,119.59","17,675.00","4,878.00","5,783.00","4,874.68","16,954.00","6,523.00","14,629.00"
"13","Capital Expenditures","(3,087.00)","(381.00)","(492.36)","(1.00)","(6.00)","(1.00)","(0.46)","-","(143.00)","1.00"
"14","Total Shares Outstanding (million)","1,260,472.00","1,260,472.00","1,260,472.00","1,260,472.08","1,260,472.08","1,260,472.08","1,260,472.08","1,260,472.08","1,260,472.08","1,260,472.08"
"15","Financial Year","31-12-2008","31-12-2009","31-12-2010","31-12-2011","31-12-2012","31-12-2013","31-12-2014","31-12-2015","30-06-2017","30-06-2018"
"16","Pretax Income","12,338.00","37,322.75","9,828.99","26,859.04","53,271.58","38,051.02","27,865.24","(688,151.39)","(605,984.35)","(468,716.44)"
"16","Sales/Revenue","72,757.00","101,180.30","75,213.17","82,414.68","128,370.13","111,662.90","122,132.92","214,783.79","275,586.63","127,179.78"
"17","Net Income","15,262.00","33,038.41","10,252.94","21,170.76","92,174.29","71,785.41","13,725.93","(706,318.20)","(560,430.78)","(455,622.62)"
"18","Cash & Short-Term Investments","3,669.00","17,781.94","26,220.54","40,880.09","24,939.83","62,916.68","94,108.15","39,655.49","16,392.28","28,385.39"
"19","Cash Only","-","-","-","-","-","-","-","-","16,392.28","28,385.39"
"20","Total Accounts Receivables","46,447.00","46,936.54","11,028.98","32,066.61","43,521.44","60,319.81","119,087.09","126,733.03","97,782.51","38,826.51"
"21","Inventories","326.00","99.06","-","-","-","-","-","-","-","-"
"22","Net Property, Plant & Equipment","369,381.00","312,923.98","269,488.22","500,804.62","550,340.12","548,216.29","1,403,239.90","1,348,104.17","1,053,295.91","662,558.36"
"23","Short Term Debt","77,839.00","57,577.05","53,748.05","125,735.12","77,905.24","82,012.11","135,087.81","-","1,317,964.23","1,229,496.40"
"24","Long Term Debt","211,101.00","193,703.11","138,028.19","138,806.57","264,708.90","272,023.13","1,022,989.68","794,679.18","-","-"
"25","Net Operating Cash Flow","12,177.00","79,371.50","75,675.16","50,230.53","165,570.08","64,211.03","30,754.01","43,729.73","32,110.59","33,210.68"
"26","Capital Expenditures","(43,585.00)","(24,339.64)","(18,642.72)","(69.56)","(127,298.58)","(75,625.82)","(894,834.09)","(53,419.90)","(23,209.36)","(8.46)"
"27","Total Shares Outstanding (million)","662,400.00","662,000.00","662,000.00","753,483.00","851,375.00","1,084,128.00","1,192,725.00","-","1,260,472.08","1,260,472.08"
