"1","Financial Year","30-09-2019       Other","31-12-2019       Other","31-03-2020       Other","30-06-2020       Other","30-09-2020       Other","31-12-2020       2","31-03-2021       3","30-06-2021       4","30-09-2021       1","31-12-2021       2"
"2","Sales/Revenue","48,920.00","34,008.00","17,484.00","18,231.00","14,751.00","16,878.00","23,731.00","23,944.00","13,298.00","23,629.00"
"3","Pretax Income","4,254.00","(6,876.00)","(41,238.00)","(5,075.00)","(3,967.00)","(5,042.00)","(1,350.00)","8,428.00","(3,220.00)","(2,889.00)"
"4","Net Income","959.00","(8,896.00)","(24,575.00)","(2,758.00)","(4,133.00)","(6,698.00)","(5,300.00)","2,651.00","(3,100.00)","(3,158.00)"
"5","Cash & Short-Term Investments","53,444.00","47,364.00","38,115.00","46,344.00","44,612.00","43,608.00","42,903.00","47,943.00","40,771.00","39,017.00"
"6","Cash Only","-","-","38,014.00","46,286.00","44,557.00","43,530.00","42,837.00","47,882.00","40,702.00","39,017.00"
"7","Total Accounts Receivables","135,107.00","111,670.00","73,919.00","60,424.00","64,535.00","68,888.00","75,097.00","68,922.00","65,285.00","65,174.00"
"8","Inventories","14,432.00","13,670.00","14,160.00","13,896.00","13,820.00","13,879.00","13,213.00","12,864.00","13,413.00","13,225.00"
"9","Net Property, Plant & Equipment","22,651.00","21,036.00","21,390.00","35,131.00","34,698.00","39,478.00","38,885.00","31,299.00","30,901.00","30,450.00"
"10","Short Term Debt","195,506.00","190,196.00","185,486.00","191,037.00","200,668.00","200,197.00","200,344.00","178,616.00","175,683.00","173,010.00"
"11","Long Term Debt","2,554.00","2,040.00","1,979.00","608.00","597.00","576.00","466.00","22,079.00","24,344.00","23,151.00"
"12","Net Operating Cash Flow","13,526.00","6,012.00","19,424.00","25,059.00","(4,122.00)","(15,531.00)","9,343.00","(4,100.00)","(5,048.00)","1,438.00"
"13","Capital Expenditures","(38.00)","(473.00)","(1,425.00)","(1,970.00)","(76.00)","(22.00)","(19.00)","(106.00)","(72.00)","(25.00)"
"14","Total Shares Outstanding (million)","2,042,945.85","2,042,945.85","2,042,945.85","2,042,945.85","2,042,946.00","2,042,946.00","2,042,946.00","2,042,946.00","2,042,946.00","2,042,946.00"
