"1","Financial Year","31-12-2019       4","31-03-2020       1","30-06-2020       Other","30-09-2020       Other","31-12-2020       Other","31-01-2021       Other","30-04-2021       Other","31-07-2021       Other","31-10-2021       3","31-01-2022       4"
"2","Sales/Revenue","69,268.07","51,969.00","41,256.00","59,243.00","98,811.00","14,215.53","58,822.00","74,508.00","75,150.00","99,530.00"
"3","Pretax Income","5,143.11","(11,111.00)","1,794.00","5,240.00","7,387.00","852.67","5,095.00","6,230.00","9,696.00","7,591.00"
"4","Net Income","3,071.39","(11,236.00)","1,239.00","4,896.00","5,720.00","800.88","4,018.00","5,105.00","8,043.00","6,599.00"
"5","Cash & Short-Term Investments","57,049.83","61,982.00","40,994.00","48,290.00","55,850.00","69,587.79","89,586.00","69,561.00","118,742.00","117,579.00"
"6","Cash Only","34,112.72","61,982.00","40,994.00","48,290.00","55,850.00","60,685.92","89,586.00","69,561.00","118,742.00","117,579.00"
"7","Total Accounts Receivables","94,518.24","80,427.00","77,013.00","90,561.00","139,601.00","102,646.47","70,770.00","126,316.00","81,374.00","100,585.00"
"8","Inventories","20,640.53","20,787.00","22,472.00","18,943.00","17,520.00","9,777.76","18,734.00","14,795.00","16,113.00","15,888.00"
"9","Net Property, Plant & Equipment","45,590.68","32,458.00","43,569.00","41,498.00","38,304.00","43,844.93","54,753.00","55,544.00","60,549.00","57,409.00"
"10","Short Term Debt","34,264.33","34,841.00","18,369.00","27,077.00","29,420.00","33,364.49","41,144.00","38,282.00","33,606.00","34,615.00"
"11","Long Term Debt","5,581.90","5,146.00","6,179.00","6,168.00","4,987.00","4,608.12","3,475.00","2,622.00","9,440.00","8,605.00"
"12","Net Operating Cash Flow","27,541.46","5,594.00","7,952.00","1,253.00","8,511.00","20,724.99","27,273.00","31,571.00","12,966.00","118.00"
"13","Capital Expenditures","(12,312.71)","(672.00)","(11,226.00)","(258.00)","(245.00)","(18,825.51)","(14,189.00)","(460.00)","(863.00)","(1,342.00)"
"14","Total Shares Outstanding (million)","489,277.33","522,375.30","523,375.30","523,375.30","523,375.30","523,375.30","523,375.30","663,344.42","663,344.42","663,344.42"
