"1","Financial Year","31-12-2015","31-12-2016","31-12-2017","31-12-2018","31-03-2019       TTM"
"2","Sales/Revenue","78,693.18","71,381.31","85,505.27","85,583.56","81,780.56"
"3","Pretax Income","5,310.75","6,221.96","7,999.64","4,807.21","3,191.21"
"4","Net Income","3,259.13","4,667.63","5,997.06","3,662.83","2,078.83"
"5","Cash & Short-Term Investments","4,563.48","2,605.12","3,256.29","20,838.93","22,579.00"
"6","Cash Only","1,463.81","584.91","1,181.87","972.88","3,816.00"
"7","Total Accounts Receivables","12,027.96","14,580.43","17,869.58","15,157.47","13,820.00"
"8","Inventories","-","119.87","74.96","109.79","160.00"
"9","Net Property, Plant & Equipment","38,835.44","55,178.67","58,693.30","67,966.85","68,534.00"
"10","Accrued Payable","4,227.83","-","-","-","-"
"11","Short Term Debt","4,512.92","6,521.38","9,863.17","4,183.33","6,561.00"
"12","Long Term Debt","9,541.01","14,183.70","14,447.84","18,614.65","20,291.00"
"13","Net Operating Cash Flow","8,427.96","9,485.92","3,036.14","5,218.13","10,625.13"
"14","Capital Expenditures","(1,719.19)","(13,751.85)","(1,709.37)","(2,456.66)","(3,594.66)"
"15","Total Shares Outstanding (million)","8,260.00","122,793.00","122,793.00","166,000.00","166,000.00"
