"1","Financial Year","30-06-2015","30-06-2016","30-06-2017","30-06-2018","31-03-2019       TTM","31-03-2019       TTM"
"2","Sales/Revenue","14,385.55","25,726.06","26,525.74","35,363.46","55,967.46","55,967.46"
"3","Pretax Income","2,724.63","5,920.77","8,570.85","9,333.83","12,548.83","12,548.83"
"4","Net Income","2,115.87","4,512.98","6,976.09","6,775.33","8,504.33","8,504.33"
"5","Cash & Short-Term Investments","4,555.54","9,862.02","9,787.22","15,259.83","22,157.46","22,157.46"
"6","Cash Only","3,880.83","9,167.85","9,174.91","14,715.04","21,584.26","21,584.26"
"7","Total Accounts Receivables","4,283.58","5,906.00","8,639.72","11,351.28","12,994.07","12,994.07"
"8","Net Property, Plant & Equipment","11,860.40","14,044.35","21,882.12","24,329.29","26,334.32","26,334.32"
"9","Short Term Debt","673.26","452.14","1,208.79","1,223.60","713.65","713.65"
"10","Long Term Debt","11,780.03","11,553.25","7,377.51","7,145.80","6,466.95","6,466.95"
"11","Net Operating Cash Flow","790.76","9,868.26","9,100.88","13,152.50","1,416.50","1,416.50"
"12","Capital Expenditures","(2,100.25)","(3,946.53)","(10,959.26)","(6,835.09)","(11,042.09)","(11,042.09)"
"13","Total Shares Outstanding (million)","167,136.00","167,136.00","167,136.00","167,136.00","222,848.00","167,136.00"
