"1","Financial Year","30-06-2019       1","30-09-2019       2","31-12-2019       3","31-03-2020       4"
"2","Sales/Revenue","45,359.00","50,063.00","48,558.00","47,540.00"
"3","Pretax Income","1,366.00","2,292.00","635.00","704.00"
"4","Net Income","1,079.00","1,691.00","58.00","1,245.00"
"5","Cash & Short-Term Investments","3,691.00","3,918.00","10,805.00","10,457.00"
"6","Cash Only","3,691.00","3,918.00","10,805.00","10,457.00"
"7","Total Accounts Receivables","16,231.00","17,481.00","16,934.00","14,531.00"
"8","Inventories","5,479.00","5,422.00","6,621.00","5,330.00"
"9","Net Property, Plant & Equipment","109,916.00","109,530.00","110,954.00","113,319.00"
"10","Short Term Debt","14,576.00","15,200.00","11,087.00","11,612.00"
"11","Long Term Debt","49,468.00","48,030.00","43,845.00","43,149.00"
"12","Net Operating Cash Flow","2,150.00","5,631.00","(1,780.00)","7,881.00"
"13","Capital Expenditures","(2,541.00)","(2,683.00)","(2,000.00)","(4,645.00)"
"14","Total Shares Outstanding (million)","301,569.89","301,569.89","405,823.90","405,823.90"
