"1","Financial Year","31-12-2016       4","31-03-2017       1","30-06-2017       2","30-09-2017       Other","31-12-2017       Other","31-03-2018       Other","30-06-2018       Other","30-09-2018       1","31-12-2018       2","31-03-2019       3"
"2","Sales/Revenue","10,107.00","9,772.00","14,563.00","14,028.00","3,117.00","10,253.00","4,790.00","4,840.00","4,368.00","4,107.00"
"3","Pretax Income","(13,060.00)","(656.00)","(2,354.00)","(278.00)","(1,047.00)","(574.00)","(8,891.00)","(1,434.00)","(1,142.00)","(1,388.00)"
"4","Net Income","(13,215.00)","(634.00)","(2,376.00)","(278.00)","(1,047.00)","(574.00)","(9,194.00)","(1,434.00)","(1,142.00)","(1,388.00)"
"5","Cash & Short-Term Investments","1,120.00","521.00","2,780.00","3,382.00","4,999.00","3,558.00","4,025.00","3,920.00","4,666.00","6,003.00"
"6","Cash Only","1,120.00","521.00","2,780.00","3,382.00","4,999.00","3,558.00","4,025.00","3,920.00","4,666.00","6,003.00"
"7","Total Accounts Receivables","20,750.00","23,683.00","21,715.00","29,755.00","22,193.00","26,892.00","25,300.00","27,328.00","20,730.00","20,158.00"
"8","Inventories","909.00","784.00","942.00","643.00","515.00","715.00","931.00","731.00","893.00","834.00"
"9","Net Property, Plant & Equipment","56,470.00","57,643.00","56,722.00","56,821.00","18,557.00","18,402.00","27,742.00","27,613.00","27,482.00","27,264.00"
"10","Accrued Payable","19,371.00","-","-","-","28,503.00","24,170.00","21,038.00","20,883.00","21,844.00","23,094.00"
"11","Short Term Debt","21,648.00","24,393.00","-","36,232.00","36,934.00","37,783.00","32,575.00","36,591.00","31,130.00","31,945.00"
"12","Long Term Debt","2,402.00","2,454.00","-","2,104.00","2,045.00","1,938.00","1,843.00","1,753.00","1,645.00","1,501.00"
"13","Net Operating Cash Flow","1.00","(3,386.00)","887.00","(13,808.00)","(10,743.00)","(3,951.00)","9,416.00","(3,639.00)","6,759.00","1,121.00"
"14","Capital Expenditures","155.00","(10.00)","(6.00)","(174.00)","(177.00)","(3.00)","134.00","(7.00)","(5.00)","(4.00)"
"15","Total Shares Outstanding (million)","441,100.00","441,100.00","-","485,210.00","485,210.00","485,210.00","584,236.44","584,236.44","584,236.44","584,236.44"
