"1","Financial Year","31-07-2018       Other","31-10-2018       1","31-01-2019       2","30-04-2019       3","31-07-2019       4","31-10-2019       1","31-01-2020       2","30-04-2020       3","31-07-2020       Other","30-09-2020       Other"
"2","Sales/Revenue","1,904.40","1,587.23","1,403.48","1,505.97","1,720.99","2,215.49","4,953.44","8,367.53","20,026.22","21,673.71"
"3","Pretax Income","(1,012.06)","(682.52)","(1,001.88)","(1,025.13)","(827.11)","(797.79)","(586.22)","(2.44)","14.88","(7,795.00)"
"4","Net Income","(986.12)","(663.07)","(982.43)","(1,005.68)","(807.66)","(778.34)","(566.77)","17.01","34.33","(7,782.03)"
"5","Cash & Short-Term Investments","14,428.77","11,981.98","11,360.60","10,595.93","14,440.67","11,395.38","8,516.88","8,078.58","6,570.77","13,055.20"
"6","Cash Only","1,140.62","976.28","798.76","902.68","676.06","632.49","525.04","612.23","839.21","4,613.12"
"7","Total Accounts Receivables","115,741.73","116,172.66","115,787.51","115,704.14","114,719.96","115,258.06","118,824.98","122,077.82","128,124.87","123,411.17"
"8","Net Property, Plant & Equipment","28,160.33","27,692.15","27,226.49","26,761.10","26,295.70","25,831.61","25,933.89","25,471.61","26,695.61","26,494.90"
"9","Short Term Debt","566.61","466.81","328.95","196.51","583.31","459.07","285.95","191.34","154.09","350.60"
"10","Long Term Debt","740.93","740.93","740.93","740.93","235.27","235.27","295.25","447.43","391.18","150.09"
"11","Net Operating Cash Flow","4,931.44","(2,347.00)","(483.00)","(633.00)","3,963.87","(2,921.00)","(2,312.00)","(492.00)","(585.00)","6,088.00"
"12","Capital Expenditures","(1.26)","-","-","-","-","-","(346.00)","(34.00)","(1,696.00)","(1,796.00)"
"13","Total Shares Outstanding (million)","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96","880,810.96","892,430.96","892,930.96"
